[WARN][upload.go:24]2021/05/16 10:47:24 [request Content-Type isn't multipart/form-data]
[WARN][upload.go:24]2021/05/16 10:49:05 [request Content-Type isn't multipart/form-data]
[INFO][request.go:12]2021/05/16 11:24:24 [Username.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:24:24 [Password.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:25:20 [Username.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:25:20 [Password.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:25:24 [Username.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:25:24 [Password.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:27:57 [Username.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:27:57 [Password.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:28:26 [Username.Required Can not be empty]
[INFO][request.go:12]2021/05/16 11:28:26 [Password.Required Can not be empty]
